group1,group2,meandiff,p-adj,lower,upper,reject
51,53,-0.0452,0.9537,-0.1295,0.039,False
51,54,0.0468,0.9941,-0.057,0.1506,False
51,55,0.0694,0.9993,-0.1103,0.249,False
51,56,0.0473,0.9946,-0.0585,0.1531,False
51,61,0.1768,0.0,0.0914,0.2621,True
51,62,0.1202,0.0001,0.0346,0.2059,True
51,71,0.0635,0.4868,-0.0212,0.1482,False
51,72,-0.0026,1.0,-0.0866,0.0814,False
51,81,0.0339,0.9993,-0.0538,0.1216,False
51,92,0.1434,0.0181,0.0106,0.2763,True
52,53,-0.0839,0.0023,-0.1528,-0.0151,True
52,54,0.0081,1.0,-0.0837,0.0999,False
52,55,0.0307,1.0,-0.1423,0.2037,False
52,56,0.0087,1.0,-0.0854,0.1027,False
52,61,0.1381,0.0,0.0678,0.2083,True
52,62,0.0816,0.0063,0.0109,0.1522,True
52,71,0.0248,0.9998,-0.0447,0.0943,False
52,72,-0.0413,0.8681,-0.1099,0.0273,False
52,81,-0.0048,1.0,-0.0779,0.0683,False
52,92,0.1047,0.2413,-0.0189,0.2284,False
53,54,0.092,0.0002,0.0249,0.1592,True
53,55,0.1146,0.599,-0.0467,0.2759,False
53,56,0.0926,0.0004,0.0224,0.1628,True
53,61,0.222,0.0,0.1899,0.2541,True
53,62,0.1655,0.0,0.1326,0.1983,True
53,71,0.1087,0.0,0.0784,0.139,True
53,72,0.0427,0.0,0.0145,0.0708,True
53,81,0.0791,0.0,0.0413,0.117,True
53,92,0.1887,0.0,0.082,0.2953,True
54,55,0.0226,1.0,-0.1497,0.1949,False
54,56,0.0006,1.0,-0.0922,0.0934,False
54,61,0.13,0.0,0.0613,0.1986,True
54,62,0.0734,0.0221,0.0045,0.1424,True
54,71,0.0167,1.0,-0.0511,0.0845,False
54,72,-0.0494,0.5195,-0.1163,0.0175,False
54,81,-0.0129,1.0,-0.0844,0.0586,False
54,92,0.0966,0.3819,-0.0261,0.2194,False
55,56,-0.022,1.0,-0.1956,0.1515,False
55,61,0.1074,0.7303,-0.0545,0.2693,False
55,62,0.0509,1.0,-0.1112,0.2129,False
55,71,-0.0059,1.0,-0.1674,0.1557,False
55,72,-0.0719,0.9948,-0.2331,0.0892,False
55,81,-0.0355,1.0,-0.1986,0.1276,False
55,92,0.074,0.9993,-0.1172,0.2653,False
56,61,0.1294,0.0,0.0578,0.201,True
56,62,0.0729,0.0429,0.0009,0.1449,True
56,71,0.0162,1.0,-0.0547,0.087,False
56,72,-0.0499,0.5908,-0.1199,0.0201,False
56,81,-0.0135,1.0,-0.0879,0.0609,False
56,92,0.0961,0.423,-0.0284,0.2205,False
61,62,-0.0565,0.0,-0.0922,-0.0208,True
61,71,-0.1133,0.0,-0.1467,-0.0798,True
61,72,-0.1793,0.0,-0.2108,-0.1478,True
61,81,-0.1429,0.0,-0.1832,-0.1025,True
61,92,-0.0333,1.0,-0.141,0.0743,False
62,71,-0.0567,0.0,-0.0909,-0.0226,True
62,72,-0.1228,0.0,-0.1551,-0.0905,True
62,81,-0.0864,0.0,-0.1273,-0.0454,True
62,92,0.0232,1.0,-0.0847,0.131,False
71,72,-0.0661,0.0,-0.0958,-0.0364,True
71,81,-0.0296,0.4578,-0.0686,0.0094,False
71,92,0.0799,0.4962,-0.0272,0.187,False
72,81,0.0365,0.0665,-0.0009,0.0738,False
72,92,0.146,0.0002,0.0395,0.2525,True
81,92,0.1095,0.0498,0.0,0.219,True
